Close,Date,Positive Comments Rate,# Comments
183.92,2024-01-10,0.45070422535211263,33.0
182.73,2024-01-09,0.45970028351559333,59.0
181.5,2024-01-08,0.0,1.0
180.17,2024-01-05,0.8865475070555033,55.0
180.88,2024-01-04,0.5,2.0
183.43,2024-01-03,0.0,5.0
183.89,2024-01-02,1.0,6.0
191.73,2023-12-29,0.4277456647398845,35.0
193.17,2023-12-28,0.33333333333333337,14.0
191.09,2023-12-27,0.22002714522696432,166.0
192.83,2023-12-26,0.27385417328841144,375.0
192.97,2023-12-22,0.2850595783684693,199.0
193.5,2023-12-21,0.12333352243717022,86.0
194.83,2023-12-20,0.40895061728395055,71.0
195.89,2023-12-19,0.26068576796618126,120.0
194.39,2023-12-18,0.362605435801312,156.0
197.570007,2023-12-15,0.2812234369962189,1379.0
198.110001,2023-12-14,0.3025057480222906,806.0
197.960007,2023-12-13,0.1815687387643107,994.0
194.710007,2023-12-12,0.271115700327994,788.0
193.179993,2023-12-11,0.3044169739029856,390.0
195.710007,2023-12-08,0.4450751889959335,824.0
194.270004,2023-12-07,0.2616497698625191,1075.0
192.320007,2023-12-06,0.3831456904264837,933.0
193.419998,2023-12-05,0.3750511526394762,701.0
189.429993,2023-12-04,0.2814248055037613,810.0
191.240005,2023-12-01,0.2732793522267207,572.0
189.949997,2023-11-30,0.1642700844013754,587.0
189.369995,2023-11-29,0.2848847841989758,595.0
190.399994,2023-11-28,0.1848181643255724,529.0
189.789993,2023-11-27,0.2619347366300735,940.0
189.970001,2023-11-24,0.4243651907617711,765.0
191.309998,2023-11-22,0.1872135655362053,478.0
190.639999,2023-11-21,0.3496862334945745,545.0
191.449997,2023-11-20,0.4211828198785698,378.0
189.690002,2023-11-17,0.44718179412543,607.0
189.710007,2023-11-16,0.3764293041084057,1132.0
188.009995,2023-11-15,0.3123900293255132,673.0
187.440002,2023-11-14,0.3326076684217632,770.0
184.800003,2023-11-13,0.3226002661091047,691.0
186.399994,2023-11-10,0.3651504586171753,859.0
182.410004,2023-11-09,0.2809970242856686,660.0
182.889999,2023-11-08,0.2204110196975386,626.0
181.820007,2023-11-07,0.3028201654306902,561.0
179.229996,2023-11-06,0.2389230902627243,466.0
176.649994,2023-11-03,0.2246488854529055,624.0
177.570007,2023-11-02,0.2182762967745903,739.0
173.970001,2023-11-01,0.3373538494022011,635.0
170.770004,2023-10-31,0.3325051759834369,1282.0
170.289993,2023-10-30,0.3230956868832465,378.0
168.220001,2023-10-27,0.2093691127142398,641.0
166.889999,2023-10-26,0.3260398547407611,622.0
171.100006,2023-10-25,0.3256218694286442,899.0
173.440002,2023-10-24,0.3137750220078845,611.0
173.0,2023-10-23,0.3233797461276072,319.0
172.880005,2023-10-20,0.2694965660369285,881.0
175.460007,2023-10-19,0.3470285211710013,682.0
175.839996,2023-10-18,0.3705857307949638,1382.0
177.149994,2023-10-17,0.2838884201121755,1041.0
178.720001,2023-10-16,0.4543219740036259,557.0
178.850006,2023-10-13,0.3401556038410318,452.0
180.710007,2023-10-12,0.2974126191556968,520.0
179.800003,2023-10-11,0.2098755709560561,431.0
178.389999,2023-10-10,0.3949522782636476,478.0
178.990005,2023-10-09,0.2688845401174168,939.0
