Date,Open,High,Low,Close,Adj Close,Volume,Company Symbol
2021-11-09,26.0,27.0,25.0,25.01,25.01,1017100.0,TCBX
2021-11-10,25.0,25.54,25.0,25.0,25.0,440400.0,TCBX
2021-11-11,25.0,25.38,25.0,25.0,25.0,234600.0,TCBX
2021-11-12,25.0,25.4,25.0,25.05,25.05,97400.0,TCBX
2021-11-15,25.05,27.22,25.05,26.9,26.9,244500.0,TCBX
2021-11-16,26.53,27.5,26.53,27.35,27.35,56600.0,TCBX
2021-11-17,27.5,28.2,27.15,27.92,27.92,122600.0,TCBX
2021-11-18,28.14,28.95,27.66,27.86,27.86,81700.0,TCBX
2021-11-19,27.61,29.13,26.47,28.0,28.0,72500.0,TCBX
2021-11-22,27.73,30.5,27.63,27.87,27.87,35600.0,TCBX
2021-11-23,27.82,29.51,25.25,27.87,27.87,54500.0,TCBX
2021-11-24,27.53,28.75,26.85,27.69,27.69,39600.0,TCBX
2021-11-26,27.49,28.82,27.07,27.07,27.07,14100.0,TCBX
2021-11-29,27.52,27.52,25.95,26.24,26.24,100500.0,TCBX
2021-11-30,25.91,27.42,25.91,26.79,26.79,52000.0,TCBX
2021-12-01,27.0,27.0,26.24,26.68,26.68,113600.0,TCBX
2021-12-02,26.61,27.19,26.5,26.9,26.9,85100.0,TCBX
2021-12-03,26.8,27.48,26.5,27.3,27.3,104000.0,TCBX
2021-12-06,27.12,29.48,26.76,28.46,28.46,152400.0,TCBX
2021-12-07,28.78,28.89,28.13,28.36,28.36,55000.0,TCBX
2021-12-08,28.4,28.83,27.76,28.23,28.23,61100.0,TCBX
2021-12-09,28.07,29.17,28.04,28.09,28.09,51100.0,TCBX
2021-12-10,28.34,28.74,28.15,28.44,28.44,29600.0,TCBX
2021-12-13,28.26,28.53,26.95,27.32,27.32,26600.0,TCBX
2021-12-14,26.95,27.58,26.75,27.2,27.2,33700.0,TCBX
2021-12-15,27.03,27.98,27.02,27.42,27.42,51300.0,TCBX
2021-12-16,27.79,27.79,26.17,26.45,26.45,57300.0,TCBX
2021-12-17,26.62,27.13,24.51,25.22,25.22,613200.0,TCBX
2021-12-20,25.15,26.29,25.15,26.0,26.0,38000.0,TCBX
2021-12-21,26.45,26.53,25.6,26.33,26.33,39600.0,TCBX
2021-12-22,26.27,26.5,25.6,26.5,26.5,38100.0,TCBX
2021-12-23,26.26,26.55,25.53,25.88,25.88,27400.0,TCBX
2021-12-27,25.83,26.48,25.32,26.48,26.48,30700.0,TCBX
2021-12-28,26.5,26.91,26.25,26.48,26.48,19600.0,TCBX
2021-12-29,26.49,26.5,26.25,26.39,26.39,22400.0,TCBX
2021-12-30,26.5,26.51,25.58,25.98,25.98,22000.0,TCBX
2021-12-31,26.0,26.09,25.63,25.98,25.98,25100.0,TCBX
2022-01-03,25.96,26.01,25.52,26.0,26.0,56700.0,TCBX
2022-01-04,26.0,26.1,25.5,26.0,26.0,95200.0,TCBX
2022-01-05,25.74,26.05,25.71,25.94,25.94,35800.0,TCBX
2022-01-06,26.0,26.0,25.7,25.89,25.89,68700.0,TCBX
2022-01-07,26.0,26.0,25.51,25.76,25.76,19600.0,TCBX
2022-01-10,25.81,25.85,25.5,25.58,25.58,14500.0,TCBX
2022-01-11,25.5,26.0,25.34,25.69,25.69,35500.0,TCBX
2022-01-12,25.79,25.8,25.11,25.35,25.35,26400.0,TCBX
2022-01-13,25.26,25.26,24.82,25.04,25.04,99300.0,TCBX
2022-01-14,25.0,25.05,24.9,25.0,25.0,44000.0,TCBX
2022-01-18,25.0,25.19,24.86,24.95,24.95,29900.0,TCBX
2022-01-19,25.0,25.05,24.92,24.95,24.95,18000.0,TCBX
2022-01-20,25.0,25.05,24.86,24.86,24.86,25800.0,TCBX
2022-01-21,24.55,24.76,24.25,24.36,24.36,67900.0,TCBX
2022-01-24,24.36,24.54,23.96,24.49,24.49,33900.0,TCBX
2022-01-25,24.23,25.35,24.23,24.96,24.96,27000.0,TCBX
2022-01-26,24.97,25.05,24.55,24.68,24.68,20300.0,TCBX
2022-01-27,24.64,24.96,24.04,24.08,24.08,17200.0,TCBX
2022-01-28,24.25,24.25,23.6,23.85,23.85,33000.0,TCBX
2022-01-31,23.98,24.49,23.87,23.98,23.98,46000.0,TCBX
2022-02-01,24.08,24.77,23.8,24.7,24.7,51300.0,TCBX
2022-02-02,24.59,24.59,23.72,23.94,23.94,35500.0,TCBX
2022-02-03,23.83,24.02,23.7,23.88,23.88,64800.0,TCBX
2022-02-04,24.0,24.3,23.77,23.92,23.92,29100.0,TCBX
2022-02-07,24.0,24.0,23.79,23.85,23.85,15400.0,TCBX
2022-02-08,23.75,24.0,23.6,23.98,23.98,37300.0,TCBX
2022-02-09,23.94,23.97,23.46,23.67,23.67,43100.0,TCBX
2022-02-10,23.56,24.01,23.47,23.66,23.66,51200.0,TCBX
2022-02-11,23.41,23.93,23.41,23.67,23.67,26300.0,TCBX
2022-02-14,23.44,23.99,23.35,23.67,23.67,18600.0,TCBX
2022-02-15,23.8,24.0,23.36,23.83,23.83,44300.0,TCBX
2022-02-16,23.9,23.9,23.59,23.85,23.85,8000.0,TCBX
2022-02-17,23.41,23.5,23.11,23.11,23.11,18000.0,TCBX
2022-02-18,23.12,23.77,23.11,23.52,23.52,11200.0,TCBX
2022-02-22,23.48,23.66,23.0,23.36,23.36,30400.0,TCBX
2022-02-23,23.39,23.39,22.67,22.79,22.79,28800.0,TCBX
2022-02-24,22.56,23.24,22.09,22.54,22.54,31300.0,TCBX
2022-02-25,22.45,23.25,22.45,23.14,23.14,13700.0,TCBX
2022-02-28,23.12,23.44,23.0,23.27,23.27,23200.0,TCBX
2022-03-01,23.15,23.15,22.17,22.53,22.53,21300.0,TCBX
2022-03-02,22.61,23.56,22.55,23.46,23.46,18200.0,TCBX
2022-03-03,23.44,23.58,23.2,23.37,23.37,31700.0,TCBX
2022-03-04,23.22,23.22,22.03,22.48,22.48,42700.0,TCBX
2022-03-07,22.46,22.79,22.02,22.12,22.12,47400.0,TCBX
2022-03-08,22.33,22.71,22.02,22.08,22.08,17100.0,TCBX
2022-03-09,22.12,23.5,22.02,23.3,23.3,76900.0,TCBX
2022-03-10,22.94,23.5,22.94,23.31,23.31,34500.0,TCBX
2022-03-11,23.39,23.74,22.94,23.38,23.38,43200.0,TCBX
2022-03-14,23.57,24.0,22.46,22.55,22.55,29600.0,TCBX
2022-03-15,22.78,22.97,22.31,22.7,22.7,39900.0,TCBX
2022-03-16,22.8,23.31,22.71,23.28,23.28,72500.0,TCBX
2022-03-17,22.97,23.6,22.83,23.5,23.5,57400.0,TCBX
2022-03-18,23.48,23.48,22.73,22.79,22.79,142900.0,TCBX
2022-03-21,23.25,23.57,22.51,22.9,22.9,57500.0,TCBX
2022-03-22,22.89,23.37,22.84,23.37,23.37,59800.0,TCBX
2022-03-23,22.59,22.86,22.5,22.5,22.5,28700.0,TCBX
2022-03-24,22.5,22.85,22.5,22.75,22.75,27800.0,TCBX
2022-03-25,22.61,23.0,22.61,22.96,22.96,11000.0,TCBX
2022-03-28,22.8,23.09,22.72,22.95,22.95,39400.0,TCBX
2022-03-29,23.18,23.5,23.16,23.49,23.49,24700.0,TCBX
2022-03-30,23.34,23.42,22.91,22.99,22.99,13400.0,TCBX
2022-03-31,22.92,23.43,22.92,23.1,23.1,16400.0,TCBX
2022-04-01,23.23,23.45,23.1,23.38,23.38,25200.0,TCBX
2022-04-04,23.1,23.3,22.97,23.07,23.07,10200.0,TCBX
2022-04-05,22.98,22.98,22.64,22.66,22.66,22900.0,TCBX
2022-04-06,22.5,22.82,22.5,22.73,22.73,18700.0,TCBX
2022-04-07,22.7,22.7,22.26,22.42,22.42,30200.0,TCBX
2022-04-08,22.41,22.71,22.21,22.29,22.29,49900.0,TCBX
2022-04-11,22.35,22.5,22.29,22.46,22.46,14800.0,TCBX
2022-04-12,22.68,22.69,22.2,22.35,22.35,36600.0,TCBX
2022-04-13,22.83,22.83,22.12,22.55,22.55,22100.0,TCBX
2022-04-14,22.48,22.48,22.15,22.27,22.27,10500.0,TCBX
2022-04-18,22.15,22.31,22.08,22.22,22.22,23600.0,TCBX
2022-04-19,22.33,22.64,22.17,22.64,22.64,12000.0,TCBX
2022-04-20,22.7,22.91,22.45,22.59,22.59,53800.0,TCBX
2022-04-21,22.89,23.24,22.5,22.81,22.81,27200.0,TCBX
2022-04-22,22.89,23.0,22.46,22.54,22.54,13200.0,TCBX
2022-04-25,22.67,22.67,22.13,22.5,22.5,34000.0,TCBX
2022-04-26,22.26,22.63,22.1,22.12,22.12,27800.0,TCBX
2022-04-27,22.08,22.5,22.01,22.49,22.49,23300.0,TCBX
2022-04-28,22.37,23.23,22.3,23.0,23.0,39600.0,TCBX
2022-04-29,23.0,23.18,22.18,22.67,22.67,129800.0,TCBX
2022-05-02,22.76,23.36,22.76,23.03,23.03,32900.0,TCBX
2022-05-03,23.09,23.12,22.66,23.0,23.0,27000.0,TCBX
2022-05-04,23.11,23.25,22.76,23.01,23.01,101300.0,TCBX
2022-05-05,23.0,23.45,22.78,23.4,23.4,33900.0,TCBX
2022-05-06,23.46,23.59,23.09,23.21,23.21,27700.0,TCBX
2022-05-09,23.19,23.76,22.85,23.43,23.43,21200.0,TCBX
2022-05-10,23.51,23.6,22.86,23.25,23.25,27000.0,TCBX
2022-05-11,23.3,23.65,22.96,23.17,23.17,17100.0,TCBX
2022-05-12,23.11,23.11,22.66,22.75,22.75,46000.0,TCBX
2022-05-13,22.99,23.24,22.51,22.95,22.95,42800.0,TCBX
2022-05-16,23.0,23.43,22.75,22.9,22.9,35800.0,TCBX
2022-05-17,23.0,23.31,22.9,23.16,23.16,28400.0,TCBX
2022-05-18,23.02,23.28,23.01,23.14,23.14,19600.0,TCBX
2022-05-19,23.15,23.44,23.11,23.16,23.16,25200.0,TCBX
2022-05-20,23.38,23.44,23.11,23.4,23.4,34100.0,TCBX
2022-05-23,23.44,23.85,23.38,23.4,23.4,78000.0,TCBX
